suffix,reputation,popularity,level,branches,leaves,cnt,cntPos,cntNeg,isPSL,features
museum.bahn,0,0,2,0,0,1,0,0,1,"museum.bahn: museum.bahn|mus,eum.bahn"
museum.clock,0,0,2,0,0,1,0,0,1,"museum.clock: museum.clock|mus,eum.clock"
museum.film,0,0,2,0,0,1,0,0,1,"museum.film: museum.film|mus,eum.film"
museum.xn--lns-qla,0,0,2,0,0,1,0,0,1,"museum.läns: museum.l,ä,ns #IDN|mus,eum.l,ä,ns #IDN"
museum.bergbau,0,0,2,0,0,1,0,0,1,"museum.bergbau: museum.berg,bau|mus,eum.berg,bau"
museum.contemporary,0,0,2,0,0,1,0,0,1,"museum.contemporary: museum.contemporary|mus,eum.contemporary"
museum.monticello,0,0,2,0,0,1,0,0,1,"museum.monticello: museum.monticello|mus,eum.monticello"
museum.coal,0,0,2,0,0,1,0,0,1,"museum.coal: museum.coal|mus,eum.coal"
museum.durham,0,0,2,0,0,1,0,0,1,"museum.durham: museum.durham|mus,eum.durham"
museum.valley,0,0.0126,2,0,0,2,0,0,1,"museum.valley: museum.valley|mus,eum.valley"
museum.oregon,0,0,2,0,0,1,0,0,1,"museum.oregon: museum.oregon|mus,eum.oregon"
museum.virginia,0,0,2,0,0,1,0,0,1,"museum.virginia: museum.virginia|mus,eum.virginia"
